#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:23:25Z,1.0060362173037602,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:23:30Z,1.204819277108475,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:23:35Z,1.4000000000000694,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:23:40Z,0.60240963855421,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:23:45Z,1.8036072144288626,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:23:50Z,0.8080808080807463,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:23:55Z,1.0101010101011334,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:00Z,1.4112903225806406,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:05Z,1.8181818181817269,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:10Z,1.0121457489879293,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:15Z,1.012145748987832,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:20Z,0.6024096385542375,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:25Z,1.0080645161289676,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:30Z,1.40562248995984,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:35Z,0.813008130081309,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:40Z,1.00401606425711,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:45Z,1.0224948875254833,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:50Z,2.0202020202020305,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:24:55Z,3.0181086519114237,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:00Z,2.8340080971661026,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:05Z,1.0266940451746005,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:10Z,1.9920318725098543,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:15Z,2.4144869215293636,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:20Z,1.4198782961459666,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:25Z,1.0060362173038062,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:30Z,0.6036217303823134,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:35Z,0.6097560975609897,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:40Z,0.4048582995950567,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:45Z,0.8064516129032027,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:50Z,0.4024144869215899,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:25:55Z,1.212121212121247,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:00Z,0.8080808080808205,usage_system,cpu,cpu1,hppav14
